ID;Nom;Type;GB-Type (FILTRE 1);Thèmes-tags;GB-Themes-tags (FILTRE 2);Filière;Filière picto;numfil;GB-Sector (FILTRE 3);Ens. sup. recherche;Département;Hébergeur;Adresse;CP;Ville;Innov'up incubation 2023;GB-Label INNOV'UP;Liens avec établissement ESR;GB-Linked with higher education and research institutions;Accueil d'entreprises étrangères;GB-Foreign business accommodation;W3;Raison sociale;SIRET;Incubateur;Accélérateur;Date mise à jour;Adresse complète;CoordXY;Nombre de thèmes-tags;Thème 1 (popin);Thème 2 (popin);Thème 3 (popin);Thème 4 (popin)
1;104factory;Incubateur;Incubator;Industries Culturelles & Créatives,AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo,Marketing / Publicité / Communication / Media;Cultural / Creative,AR / VR / Gaming,Marketing / Advertising / Communication / Media;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;5 rue Curial;75019.0;Paris;Oui;Yes;;;;;https://www.104factory.fr/;104 CENT QUATRE;50837292700014;Oui;non;2024_04_29;5 rue Curial;48.889983, 2.371506;3.0;Industries Culturelles & Créatives;AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;Marketing / Publicité / Communication / Media;
39;Grand Paris Sport;Incubateur;Incubator;Sport / Handicap / Bien-Etre;Sport / Autonomy / Handicap / Well-being;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;91.0;;500 place des Champs Elysées;91080.0;Evry-Courcouronnes;Non;No;;;Oui;yes;https://clustergrandparissport.fr/;;;Oui;non;2024_04_29;500 place des Champs Elysées;48.626032, 2.423837;1.0;Sport / Handicap / Bien-Etre;;;
43;IGNfab;Incubateur;Incubator;Impact environnemental, Durabilité, économie circulaire,Tourisme / Ville intelligente / PropTech,Développement de logiciels / Service Cloud / Big data (ou données de masse);Environmental impact / Sustainability / Circular economy,Tourism / Smart City / Proptech,Software development / Cloud services / Big data;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;94.0;;73 avenue de Paris;94165.0;Saint-Mandé;Non;No;;;;;https://www.ign.fr/ignfab;;;Oui;non;2024_04_29;73 avenue de Paris;48.845726, 2.424573;3.0;Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Développement de logiciels / Service Cloud / Big data (ou données de masse);
56;Incubateur I-Engage Paris 10 Nanterre;Incubateur;Incubator;Impact social / Solidarité,Etudiant;Social impact / Solidarity,Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;92.0;;200 avenue de la république;92000.0;Nanterre;Non;No;Université Paris 10-Nanterre;Paris 10-Nanterre University;;;https://i-engage.mystrikingly.com/;Université Paris-Nanterre;19921204400010;Oui;non;2024_04_29;200 avenue de la république;48.903003, 2.209615;2.0;Impact social / Solidarité;Etudiant;;
62;INRIA Startup Studio - Saclay;Incubateur;Incubator;Deeptech,Développement de logiciels / Service Cloud / Big data (ou données de masse);Deeptech,Software development / Cloud services / Big data;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;91.0;Campus de l'École Polytechnique bâtiment Alan Turing;1 rue Honoré d'Estienne d'Orves;91120.0;Palaiseau;Non;No;INRIA;INRIA;Oui;yes;https://www.inria.fr/en/inria-startup-studio;INRIA;18008904700138;Oui;non;2024_04_29;Campus de l'École Polytechnique bâtiment Alan Turing 1 rue Honoré d'Estienne d'Orves;48.715216, 2.206048;2.0;Deeptech;Développement de logiciels / Service Cloud / Big data (ou données de masse);;
74;La Turbine - Maubuisson;Incubateur;Incubator;Industries Culturelles & Créatives;Cultural / Creative;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;95.0;Abbaye de Maubuisson;avenue Richard de Tour;95310.0;Saint-Ouen l'Aumône;Oui;Yes;;;;;https://laturbine-cergypontoise.fr/;Communauté d'Agglomération de Cergy-Pontoise;;Oui;non;2024_04_29;Abbaye de Maubuisson avenue Richard de Tour;49.046876, 2.112248;1.0;Industries Culturelles & Créatives;;;
78;L'Escalator;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;36-40 boulevard Raspail;92300.0;Levallois-Perret;Oui;Yes;;;Oui;yes;https://lescalator.com/;;87923805300018;Oui;non;2024_04_29;36-40 boulevard Raspail;48.898018, 2.29183;;;;;
82;MakeSense;Incubateur,Accélérateur;Incubator, Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;11 rue Biscornet;75012.0;Paris;Non;No;;;Oui;yes;https://france.makesense.org/entrepreneurs/;;;Oui;Oui;2024_04_29;11 rue Biscornet;48.850504, 2.369661;;;;;
87;Numeric Lab;Incubateur;Incubator;Industries Culturelles & Créatives,AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo,Marketing / Publicité / Communication / Media;Cultural / Creative,AR / VR / Gaming,Marketing / Advertising / Communication / Media;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;95.0;Centre des Arts;12-16 rue de la Libération;95880.0;Enghien-les-Bains;Non;No;;;Oui;yes;https://www.enghienlesbains.fr/fr/innovante/numeric-lab;;;Oui;non;2024_04_29;Centre des Arts 12-16 rue de la Libération;48.972266, 2.305695;3.0;Industries Culturelles & Créatives;AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;Marketing / Publicité / Communication / Media;
98;Paris&Co Ville durable;Incubateur,Accélérateur;Incubator, Accelerator;Impact environnemental, Durabilité, économie circulaire,Automobile, Mobilité, Mobilité partagée,Tourisme / Ville intelligente / PropTech,Immobilier / Construction;Environmental impact / Sustainability / Circular economy,Automotive / Mobility / Shared mobility,Tourism / Smart City / Proptech,Real Estate / Construction;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Nord Express;46 rue René Clair;75018.0;Paris;Non;No;;;Oui;yes;https://www.parisandco.com/expertises/ville-durable/;;;Oui;Oui;2024_04_29;Nord Express 46 rue René Clair;48.893921, 2.354198;4.0;Impact environnemental, Durabilité, économie circulaire;Automobile, Mobilité, Mobilité partagée;Tourisme / Ville intelligente / PropTech;Immobilier / Construction
